true,restored,edge_type
"['10.1016/j.phytochem.2006.09.005', 'Araraquara/SP']","['10.1016/j.phytochem.2006.09.005', ['Mogi Guacu/SP', 'Araraquara/SP', 'Sao Paulo/SP', 'Ibirama/SC', 'Belem/PA', 'Ibate/SP', 'N/A/ES', 'Sao Carlos/SP', 'Campinas/SP', 'Teodoro Sampaio/SP', 'Pocos De Caldas/MG', 'N/A/MG', 'Peruibe/SP', 'Manaus/AM', 'Cordeiropolis/SP', 'Recife/PE', 'Rio Claro/SP', 'N/A/PE', 'Maues/AM', 'Ribeirao Preto/SP', 'Apore/GO', 'Londrina/PR', 'N/A/MS', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Murici/AL', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Sao Sebastiao Do Passe/BA', 'Igarape-acu/PA', 'Rifaina/SP', 'Goiania/GO', 'Sao Miguel Arcanjo/SP', 'N/A/AM', 'Itacoatiara/AM', 'Cuiaba/MT', 'Vicosa/MG', 'Corumba/MS', 'Rio Verde/GO', 'N/A/SP', 'Rio De Janeiro/RJ', 'N/A/SP, Cedrela fissilis', 'N/A/CE', 'Itaituba/PA', 'Piracicaba/SP', 'Pirenopolis/GO', 'Itirapina/SP', 'Cunha/SP', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.1016/j.phytochem.2006.06.004', 'Araraquara/SP']","['10.1016/j.phytochem.2006.06.004', ['Mogi Guacu/SP', 'Araraquara/SP', 'Ibirama/SC', 'Sao Paulo/SP', 'Sao Carlos/SP', 'N/A/ES', 'Ibate/SP', 'Belem/PA', 'Teodoro Sampaio/SP', 'Manaus/AM', 'Pocos De Caldas/MG', 'Campinas/SP', 'N/A/MG', 'Goiania/GO', 'Ribeirao Preto/SP', 'Cordeiropolis/SP', 'Rio Claro/SP', 'Londrina/PR', 'Recife/PE', 'Peruibe/SP', 'N/A/PE', 'Maues/AM', 'Apore/GO', 'N/A/MS', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Rifaina/SP', 'Murici/AL', 'Itacoatiara/AM', 'Cuiaba/MT', 'Sao Sebastiao Do Passe/BA', 'Igarape-acu/PA', 'N/A/AM', 'Sao Miguel Arcanjo/SP', 'Corumba/MS', 'N/A/SP', 'Vicosa/MG', 'N/A/SP, Cedrela fissilis', 'Rio Verde/GO', 'Rio De Janeiro/RJ', 'N/A/CE', 'Itaituba/PA', 'Piracicaba/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Itirapina/SP', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.1590/S0100-40422005000600011', 'Mogi Guacu/SP']","['10.1590/S0100-40422005000600011', ['Itacoatiara/AM', 'Ribeirao Preto/SP', 'Sao Carlos/SP', 'Manaus/AM', 'Mogi Guacu/SP', 'Araraquara/SP', 'Sao Paulo/SP', 'Itaituba/PA', 'Piracicaba/SP', 'Londrina/PR', 'N/A/ES', 'Ibirama/SC', 'Pocos De Caldas/MG', 'Ibate/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Rio Claro/SP', 'Belem/PA', 'N/A/MG', 'Campinas/SP', 'Teodoro Sampaio/SP', 'Itirapina/SP', 'Maues/AM', 'Peruibe/SP', 'Cordeiropolis/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Recife/PE', 'Apore/GO', 'N/A/MS', 'N/A/PE', 'Rifaina/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Cuiaba/MT', 'Sao Sebastiao Do Passe/BA', 'Murici/AL', 'Sao Miguel Arcanjo/SP', 'N/A/AM', 'Igarape-acu/PA', 'N/A/SP, Cedrela fissilis', 'Vicosa/MG', 'N/A/SP', 'Rio Verde/GO', 'Corumba/MS', 'Goiania/GO', 'N/A/CE', 'Rio De Janeiro/RJ', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.1590/S0103-50532003000300007', 'Urucuca/BA']","['10.1590/S0103-50532003000300007', ['Sao Carlos/SP', 'Maues/AM', 'Mogi Guacu/SP', 'Ibirama/SC', 'Londrina/PR', 'Araraquara/SP', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'Ibate/SP', 'Pocos De Caldas/MG', 'Belem/PA', 'Campinas/SP', 'Teodoro Sampaio/SP', 'N/A/ES', 'N/A/MG', 'Manaus/AM', 'Rio Claro/SP', 'Peruibe/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'N/A/MS', 'Recife/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Cordeiropolis/SP', 'Rifaina/SP', 'Itacoatiara/AM', 'Murici/AL', 'N/A/PE', 'Igarape-acu/PA', 'N/A/AM', 'Sao Miguel Arcanjo/SP', 'Sao Sebastiao Do Passe/BA', 'Cuiaba/MT', 'Itaituba/PA', 'N/A/SP', 'Goiania/GO', 'Rio Verde/GO', 'Corumba/MS', 'Vicosa/MG', 'Rio De Janeiro/RJ', 'N/A/CE', 'Piracicaba/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Itirapina/SP', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.1016/S0031-9422(03)00153-5', 'Manaus/AM']","['10.1016/S0031-9422(03)00153-5', ['Mogi Guacu/SP', 'Araraquara/SP', 'Ibirama/SC', 'Sao Paulo/SP', 'N/A/ES', 'Ibate/SP', 'Sao Carlos/SP', 'Belem/PA', 'N/A/MG', 'Campinas/SP', 'Pocos De Caldas/MG', 'Manaus/AM', 'Teodoro Sampaio/SP', 'Peruibe/SP', 'Cordeiropolis/SP', 'Recife/PE', 'Rio Claro/SP', 'N/A/MS', 'N/A/PE', 'Ribeirao Preto/SP', 'Maues/AM', 'Londrina/PR', 'Apore/GO', 'Igarape-acu/PA', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Murici/AL', 'Sao Sebastiao Do Passe/BA', 'Goiania/GO', 'N/A/AM', 'Rifaina/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Itacoatiara/AM', 'Sao Miguel Arcanjo/SP', 'Corumba/MS', 'Cuiaba/MT', 'Vicosa/MG', 'Rio Verde/GO', 'N/A/SP', 'Rio De Janeiro/RJ', 'N/A/SP, Cedrela fissilis', 'N/A/CE', 'Itaituba/PA', 'Piracicaba/SP', 'Itirapina/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.1590/S0100-40422008000400023', 'Iguape/SP']","['10.1590/S0100-40422008000400023', ['Itacoatiara/AM', 'Piracicaba/SP', 'Ribeirao Preto/SP', 'Cunha/SP', 'Manaus/AM', 'Pirenopolis/GO', 'Sao Carlos/SP', 'Itaituba/PA', 'Araraquara/SP', 'Sao Paulo/SP', 'Mogi Guacu/SP', 'Itirapina/SP', 'Ibirama/SC', 'Ibate/SP', 'Pocos De Caldas/MG', 'N/A/ES', 'Londrina/PR', 'Rio Claro/SP', 'N/A/MG', 'Belem/PA', 'Maues/AM', 'Teodoro Sampaio/SP', 'Campinas/SP', 'N/A/MS', 'Cordeiropolis/SP', 'Apore/GO', 'N/A/AM', 'Murici/AL', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Peruibe/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'N/A/PE', 'Sao Sebastiao Do Passe/BA', 'N/A/SP', 'Igarape-acu/PA', 'Corumba/MS', 'Sao Miguel Arcanjo/SP', 'Rio Verde/GO', 'Vicosa/MG', 'Rio De Janeiro/RJ', 'Goiania/GO', 'Cuiaba/MT', 'N/A/CE', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.5935/0100-4042.20140049', 'Pirenopolis/GO']","['10.5935/0100-4042.20140049', ['Itaituba/PA', 'Piracicaba/SP', 'Itacoatiara/AM', 'Ribeirao Preto/SP', 'Sao Carlos/SP', 'Manaus/AM', 'Pirenopolis/GO', 'Londrina/PR', 'Sao Paulo/SP', 'Cunha/SP', 'Araraquara/SP', 'Mogi Guacu/SP', 'Ibirama/SC', 'Maues/AM', 'Pocos De Caldas/MG', 'N/A/SP, Cedrela fissilis', 'Ibate/SP', 'N/A/ES', 'Rio Claro/SP', 'Itirapina/SP', 'Campinas/SP', 'Belem/PA', 'N/A/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/MS', 'Teodoro Sampaio/SP', 'Rifaina/SP', 'Cordeiropolis/SP', 'Apore/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Peruibe/SP', 'Recife/PE', 'N/A/AM', 'Sao Miguel Arcanjo/SP', 'N/A/PE', 'Murici/AL', 'N/A/SP', 'Sao Sebastiao Do Passe/BA', 'Vicosa/MG', 'Cuiaba/MT', 'Igarape-acu/PA', 'Rio Verde/GO', 'Corumba/MS', 'Goiania/GO', 'N/A/CE', 'Rio De Janeiro/RJ', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.1107/S160053680302107X', 'Manaus/AM']","['10.1107/S160053680302107X', ['Manaus/AM', 'Ibirama/SC', 'Araraquara/SP', 'Mogi Guacu/SP', 'N/A/ES', 'Sao Paulo/SP', 'Sao Carlos/SP', 'Belem/PA', 'Ibate/SP', 'Teodoro Sampaio/SP', 'Pocos De Caldas/MG', 'Campinas/SP', 'Ribeirao Preto/SP', 'N/A/MG', 'Apore/GO', 'Recife/PE', 'Londrina/PR', 'Maues/AM', 'Cordeiropolis/SP', 'N/A/MS', 'Rio Claro/SP', 'N/A/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Peruibe/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/AM', 'Rifaina/SP', 'Goiania/GO', 'Murici/AL', 'Itacoatiara/AM', 'Corumba/MS', 'Igarape-acu/PA', 'Sao Sebastiao Do Passe/BA', 'N/A/SP', 'Cuiaba/MT', 'Sao Miguel Arcanjo/SP', 'Vicosa/MG', 'Rio De Janeiro/RJ', 'N/A/SP, Cedrela fissilis', 'Rio Verde/GO', 'N/A/CE', 'Itaituba/PA', 'Piracicaba/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Itirapina/SP', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.1016/j.phytochem.2007.08.012', 'Ibate/SP']","['10.1016/j.phytochem.2007.08.012', ['Araraquara/SP', 'Mogi Guacu/SP', 'Ibirama/SC', 'Sao Paulo/SP', 'Sao Carlos/SP', 'Ibate/SP', 'N/A/ES', 'Belem/PA', 'Pocos De Caldas/MG', 'Manaus/AM', 'Teodoro Sampaio/SP', 'Campinas/SP', 'Goiania/GO', 'Cordeiropolis/SP', 'N/A/MG', 'Peruibe/SP', 'Ribeirao Preto/SP', 'Maues/AM', 'Rio Claro/SP', 'Recife/PE', 'N/A/MS', 'N/A/PE', 'Londrina/PR', 'Apore/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Murici/AL', 'Rifaina/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/AM', 'Igarape-acu/PA', 'Sao Sebastiao Do Passe/BA', 'Itacoatiara/AM', 'Sao Miguel Arcanjo/SP', 'Corumba/MS', 'N/A/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Rio De Janeiro/RJ', 'Rio Verde/GO', 'N/A/SP, Cedrela fissilis', 'N/A/CE', 'Itaituba/PA', 'Piracicaba/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Itirapina/SP', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
"['10.1590/S0103-50532005000800008', 'Belem/PA']","['10.1590/S0103-50532005000800008', ['Mogi Guacu/SP', 'Araraquara/SP', 'Sao Carlos/SP', 'Ibirama/SC', 'Ibate/SP', 'Sao Paulo/SP', 'Maues/AM', 'Belem/PA', 'Pocos De Caldas/MG', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Londrina/PR', 'Campinas/SP', 'N/A/ES', 'N/A/MG', 'Manaus/AM', 'Peruibe/SP', 'Rio Claro/SP', 'Apore/GO', 'Recife/PE', 'Cordeiropolis/SP', 'N/A/PE', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/MS', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Murici/AL', 'Itacoatiara/AM', 'Igarape-acu/PA', 'Sao Sebastiao Do Passe/BA', 'N/A/AM', 'N/A/SP, Cedrela fissilis', 'Sao Miguel Arcanjo/SP', 'Goiania/GO', 'Cuiaba/MT', 'Corumba/MS', 'N/A/SP', 'Vicosa/MG', 'Rio Verde/GO', 'Itaituba/PA', 'Rio De Janeiro/RJ', 'N/A/CE', 'Piracicaba/SP', 'Itirapina/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Santarem/PA', 'Iguape/SP', 'Chapada Dos Guimaraes/MT', 'Lavras/MG', 'Urucuca/BA']]",doi_collectionSite
